id,facility_type,target_facility_name,road_name,address,latitude,hardness,organization_name,police_station_name,whether_install,count_install,base_date
,어린이집,둔산큰별어린이집,대전광역시 서구 도솔로 454,,36.343706,127.394233,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,어린이집,둔산큰별어린이집,대전광역시 서구 도솔로 454,,36.343706,127.394233,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,어린이집,둔산큰별어린이집,대전광역시 서구 도솔로 454,,36.343706,127.394233,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,어린이집,푸르니어린이집,대전광역시 서구 정림로10번길 41,,36.302331,127.3684144,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,어린이집,푸르니어린이집,대전광역시 서구 정림로10번길 41,,36.302331,127.3684144,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,어린이집,푸르니어린이집,대전광역시 서구 정림로10번길 41,,36.302331,127.3684144,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,어린이집,키즈아일랜드어린이집,대전광역시 서구 유등로17번길 78,대전광역시 서구 복수동 737,36.29740469,127.375997,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,어린이집,키즈아일랜드어린이집,대전광역시 서구 유등로17번길 78,대전광역시 서구 복수동 737,36.29740469,127.375997,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,어린이집,키즈아일랜드어린이집,대전광역시 서구 유등로17번길 78,대전광역시 서구 복수동 737,36.29740469,127.375997,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,어린이집,소야어린이집,대전광역시 서구 유등로43번길 6-13,대전광역시 서구 복수동 705,36.297945,127.380978,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,어린이집,소야어린이집,대전광역시 서구 유등로43번길 6-13,대전광역시 서구 복수동 705,36.297945,127.380978,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,어린이집,소야어린이집,대전광역시 서구 유등로43번길 6-13,대전광역시 서구 복수동 705,36.297945,127.380978,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,어린이집,별나라어린이집,대전광역시 서구 계룡로354번길20,대전광역시 서구 갈마동 294-5,36.352729,127.367269,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,어린이집,별나라어린이집,대전광역시 서구 계룡로354번길20,대전광역시 서구 갈마동 294-5,36.352729,127.367269,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,어린이집,별나라어린이집,대전광역시 서구 계룡로354번길20,대전광역시 서구 갈마동 294-5,36.352729,127.367269,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,어린이집,다원어린이집,대전광역시 서구 계백로1300번길 30,대전광역시 서구 정림동 123-21,36.307042,127.367473,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,어린이집,다원어린이집,대전광역시 서구 계백로1300번길 30,대전광역시 서구 정림동 123-21,36.307042,127.367473,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,어린이집,다원어린이집,대전광역시 서구 계백로1300번길 30,대전광역시 서구 정림동 123-21,36.307042,127.367473,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,어린이집,예뻐뽀어린이집,대전광역시 서구 복수동로87번길 29-9,대전광역시 서구 복수동 904,36.296261,127.379241,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,어린이집,예뻐뽀어린이집,대전광역시 서구 복수동로87번길 29-9,대전광역시 서구 복수동 904,36.296261,127.379241,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,어린이집,예뻐뽀어린이집,대전광역시 서구 복수동로87번길 29-9,대전광역시 서구 복수동 904,36.296261,127.379241,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,초등학교,도안초등학교,대전광역시 서구 원도안로 200,대전광역시 서구 도안동 1497,36.32189788,127.3444736,대전광역시 서구청,둔산경찰서,N,0,2022-04-27
,초등학교,도안초등학교,대전광역시 서구 원도안로 200,대전광역시 서구 도안동 1497,36.32189788,127.3444736,대전광역시 서구청,둔산경찰서,N,0,2022-04-27
,초등학교,도안초등학교,대전광역시 서구 원도안로 200,대전광역시 서구 도안동 1497,36.32189788,127.3444736,대전광역시 서구청,둔산경찰서,N,0,2022-04-27
,어린이집,달이어린이집,대전광역시 서구 가장로 132,대전광역시 서구 가장동 48-25,36.33205303,127.3873591,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,어린이집,달이어린이집,대전광역시 서구 가장로 132,대전광역시 서구 가장동 48-25,36.33205303,127.3873591,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,어린이집,달이어린이집,대전광역시 서구 가장로 132,대전광역시 서구 가장동 48-25,36.33205303,127.3873591,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,어린이집,EBS하늘어린이집,대전광역시 서구 들말2길 55,대전광역시 서구 가장동 39-15,36.33012029,127.3839756,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,어린이집,EBS하늘어린이집,대전광역시 서구 들말2길 55,대전광역시 서구 가장동 39-15,36.33012029,127.3839756,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,어린이집,EBS하늘어린이집,대전광역시 서구 들말2길 55,대전광역시 서구 가장동 39-15,36.33012029,127.3839756,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,유치원,동산유치원,대전광역시 서구 계룡로394번길 9,대전광역시 서구 갈마동 343-55,36.35067281,127.3714226,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,유치원,동산유치원,대전광역시 서구 계룡로394번길 9,대전광역시 서구 갈마동 343-55,36.35067281,127.3714226,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,유치원,동산유치원,대전광역시 서구 계룡로394번길 9,대전광역시 서구 갈마동 343-55,36.35067281,127.3714226,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,유치원,산새소리유치원,대전광역시 서구 갈마로183번길 41,,36.33960027,127.378026,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,유치원,산새소리유치원,대전광역시 서구 갈마로183번길 41,,36.33960027,127.378026,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,유치원,산새소리유치원,대전광역시 서구 갈마로183번길 41,,36.33960027,127.378026,대전광역시 서구청,둔산경찰서,Y,1,2022-04-27
,유치원,대자연유치원,대전광역시 서구 관저동 원앙마을2길 34,,36.294499,127.332929,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,유치원,대자연유치원,대전광역시 서구 관저동 원앙마을2길 34,,36.294499,127.332929,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,유치원,대자연유치원,대전광역시 서구 관저동 원앙마을2길 34,,36.294499,127.332929,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,유치원,우정유치원,대전광역시 서구 관저서로 47,대전광역시 서구 관저동 1167,36.29666823,127.3296542,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,유치원,우정유치원,대전광역시 서구 관저서로 47,대전광역시 서구 관저동 1167,36.29666823,127.3296542,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,유치원,우정유치원,대전광역시 서구 관저서로 47,대전광역시 서구 관저동 1167,36.29666823,127.3296542,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,유치원,밝은빛유치원,대전광역시 서구 가수원로65번길 44,대전광역시 서구 가수원동 641-36,36.29848127,127.3509035,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
